ProjectName,ProjectStartDate,ActualStartDate,TotalBudget,ScheduledRevenue,ActualRevenue
Website Redesign,2025-01-15,2025-01-22,500000,350000,125000
Mobile App Launch,2025-02-01,2025-01-28,750000,600000,450000
Data Migration,2025-03-10,2025-03-15,300000,180000,180000
Cloud Infrastructure,2025-04-01,2025-04-20,1200000,400000,150000
ERP Implementation,2025-05-01,2025-05-01,2000000,1800000,1650000
Security Audit,2025-06-15,2025-06-10,150000,150000,150000
API Gateway,2025-07-01,2025-07-08,400000,280000,200000
Dashboard Analytics,2025-08-15,2025-09-01,250000,100000,25000
Customer Portal,2025-09-01,2025-08-25,600000,450000,380000
DevOps Pipeline,2025-10-01,2025-10-05,180000,90000,45000
