ActualBillingAdjustedRevenueToDate,ActualRevenue_Month1,ActualRevenue_Month2,ActualRevenue_Month3,HoursBudgetAlertLevel,ProjectName,ScheduledRevenue_Month1,ScheduledRevenue_Month2,ScheduledRevenue_Month3,ScheduledRevenue_Month4,ScheduledRevenue_Month5,ScheduledRevenue_Month6,TotalBudget
45000,20000,20000,5000,Green,Website Redesign,20000,20000,20000,20000,10000,0,120000
180000,45000,50000,55000,Green,Mobile App Development,40000,40000,50000,50000,40000,30000,250000
15000,0,15000,0,Yellow,Data Migration,0,15000,15000,15000,15000,10000,80000
275000,55000,60000,80000,Red,Cloud Infrastructure,50000,50000,50000,50000,50000,50000,300000
85000,45000,40000,0,Yellow,ERP Implementation,50000,60000,70000,80000,90000,100000,500000
0,0,0,0,Green,Security Audit,0,0,15000,15000,15000,0,45000
165000,35000,40000,45000,Red,API Gateway,30000,30000,30000,30000,30000,30000,180000
8000,0,8000,0,Green,Analytics Dashboard,0,10000,15000,20000,20000,20000,95000
195000,40000,42000,48000,Yellow,Customer Portal,35000,35000,35000,35000,30000,30000,200000
22000,12000,10000,0,Yellow,DevOps Pipeline,15000,15000,15000,15000,0,0,60000
